date,returns_austria,returns_belgium,returns_finland,returns_france,returns_germany,returns_greece,returns_ireland,returns_italy,returns_netherlands,returns_portugal,returns_spain,returns_sweden,returns_switzerland,returns_uk,,EUI
25/02/2014,0.19%,-0.10%,0.14%,-0.10%,-0.10%,-0.39%,1.89%,-0.02%,-0.25%,0.47%,0.48%,0.20%,0.38%,-0.49%,,148
26/02/2014,-0.23%,0.46%,-0.71%,-0.40%,-0.39%,6.37%,-0.92%,-0.37%,-0.53%,-1.20%,-0.18%,0.23%,0.33%,-0.05%,,148
27/02/2014,-1.29%,0.58%,-0.01%,-0.01%,-0.76%,0.00%,0.63%,-0.38%,-0.09%,0.68%,-0.59%,-0.42%,-0.63%,0.13%,,148
28/02/2014,-2.10%,0.76%,0.06%,0.27%,1.08%,1.65%,1.16%,0.60%,0.07%,1.04%,-0.49%,0.89%,0.33%,-0.44%,,148
01/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,-0.07%,,157
02/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.20%,0.23%,,157
03/03/2014,-3.68%,-2.14%,-2.81%,-2.69%,-3.50%,1.00%,-2.46%,-3.40%,-2.63%,-2.60%,-2.36%,-3.02%,-2.41%,-1.60%,,157
04/03/2014,2.14%,2.27%,2.20%,2.42%,2.43%,-1.25%,0.43%,3.56%,2.68%,2.47%,2.48%,2.48%,1.43%,1.65%,,157
05/03/2014,-0.10%,0.23%,0.35%,-0.11%,-0.49%,0.00%,0.30%,1.36%,-0.03%,0.64%,0.87%,0.40%,0.22%,-0.32%,,157
06/03/2014,1.23%,0.48%,0.52%,0.59%,0.01%,2.04%,0.73%,0.39%,0.36%,1.31%,0.87%,0.32%,0.13%,-0.61%,,157
07/03/2014,-1.36%,-1.17%,-1.40%,-1.15%,-2.03%,3.94%,-1.81%,-0.98%,-0.95%,-0.53%,-1.37%,-1.16%,-1.03%,-1.39%,,157
08/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.01%,,157
09/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.06%,-0.03%,0.07%,,157
10/03/2014,-1.31%,0.14%,-0.84%,0.10%,-0.92%,0.00%,-0.46%,0.58%,-0.73%,1.24%,0.30%,0.34%,-0.11%,-0.89%,,157
11/03/2014,-0.79%,0.32%,0.06%,-0.48%,0.46%,0.00%,0.82%,0.38%,0.23%,0.97%,-0.31%,0.09%,0.05%,-0.02%,,157
12/03/2014,-1.51%,-0.62%,-1.77%,-1.00%,-1.29%,9.50%,-1.36%,-0.25%,-0.73%,-1.66%,-0.92%,-1.15%,-0.52%,-1.31%,,157
13/03/2014,-1.82%,-1.62%,-1.43%,-1.30%,-1.88%,-3.91%,-0.72%,-0.92%,-1.38%,-2.19%,-1.20%,-0.72%,-1.08%,-0.73%,,157
14/03/2014,-0.87%,-1.04%,0.02%,-0.81%,0.43%,-1.66%,-1.83%,-1.20%,-0.89%,-0.50%,-1.40%,-1.16%,-1.22%,-0.59%,,157
15/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,-0.07%,0.03%,,157
16/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,-0.04%,,157
17/03/2014,1.95%,1.26%,1.53%,1.31%,1.37%,0.00%,1.37%,2.49%,1.11%,1.80%,1.65%,2.03%,0.33%,0.48%,,157
18/03/2014,1.74%,1.36%,0.86%,0.96%,0.67%,5.95%,0.39%,0.86%,0.63%,0.88%,0.76%,1.04%,0.97%,0.29%,,157
19/03/2014,0.28%,0.08%,-0.76%,-0.12%,0.37%,-2.73%,-1.26%,-0.30%,-0.13%,-0.05%,0.42%,-0.27%,-0.37%,-0.07%,,157
20/03/2014,-0.50%,-0.21%,-1.12%,0.46%,0.21%,-0.34%,-0.12%,0.56%,0.50%,-0.43%,-0.13%,-0.35%,0.55%,-0.35%,,157
21/03/2014,0.13%,0.25%,-0.47%,0.17%,0.50%,-3.01%,0.42%,-0.58%,0.14%,-0.17%,-0.27%,-0.39%,0.29%,0.01%,,157
22/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,0.00%,-0.01%,,157
23/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.05%,0.01%,,157
24/03/2014,-1.64%,-1.05%,-1.19%,-1.37%,-1.66%,-3.73%,-1.32%,-1.66%,-0.80%,-1.21%,-1.40%,-1.16%,-1.24%,-0.82%,,157
