date,returns_austria,returns_belgium,returns_finland,returns_france,returns_germany,returns_greece,returns_ireland,returns_italy,returns_netherlands,returns_portugal,returns_spain,returns_sweden,returns_switzerland,returns_uk,,EUI
18/12/2019,-0.39%,0.10%,0.24%,-0.15%,-0.50%,2.23%,0.22%,-0.01%,-0.03%,-0.34%,0.06%,-0.36%,0.47%,0.21%,,236
19/12/2019,0.32%,0.44%,0.50%,0.21%,-0.08%,5.57%,0.16%,0.34%,-0.04%,0.33%,-0.05%,-0.21%,0.28%,-0.13%,,236
20/12/2019,0.18%,0.19%,0.95%,0.82%,0.81%,-1.68%,0.69%,1.24%,0.57%,0.41%,0.60%,1.08%,0.97%,0.35%,,236
21/12/2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,,236
22/12/2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.07%,,236
23/12/2019,0.33%,-0.08%,0.28%,0.13%,-0.13%,-2.14%,-0.15%,-0.44%,-0.01%,0.00%,-0.16%,-0.37%,0.40%,-0.07%,,236
24/12/2019,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.48%,0.00%,0.02%,-0.17%,0.02%,0.25%,0.18%,0.07%,,236
25/12/2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,-0.03%,0.25%,,236
26/12/2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.12%,-0.24%,0.17%,,236
27/12/2019,-0.26%,0.11%,0.17%,0.13%,0.27%,1.18%,0.51%,-0.59%,0.28%,0.72%,0.40%,0.26%,0.10%,0.10%,,236
28/12/2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,236
29/12/2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.05%,,236
30/12/2019,-0.80%,-0.73%,-0.80%,-0.92%,-0.66%,-4.15%,-1.06%,-1.07%,-0.85%,-0.62%,-0.91%,-1.85%,-0.73%,-0.78%,,236
31/12/2019,0.00%,-0.29%,0.00%,-0.07%,0.00%,0.00%,0.00%,0.00%,-0.21%,-0.43%,-0.66%,0.07%,-0.18%,0.35%,,236
01/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.21%,0.12%,-0.04%,,199
02/01/2020,1.32%,1.51%,1.48%,1.06%,1.03%,1.33%,1.81%,1.39%,1.36%,0.99%,1.48%,2.27%,0.06%,0.48%,,199
03/01/2020,-0.38%,-0.53%,-0.46%,0.04%,-1.25%,3.35%,-1.00%,-0.56%,-0.30%,-0.45%,-0.46%,-1.55%,0.77%,-0.19%,,199
04/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,,199
05/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.13%,0.10%,-0.02%,,199
06/01/2020,-0.45%,-0.57%,0.00%,-0.51%,-0.70%,-1.93%,-0.44%,-0.51%,-0.63%,-0.12%,-0.47%,-0.23%,-0.32%,-0.22%,,199
07/01/2020,-0.41%,0.33%,-0.13%,-0.02%,0.76%,0.00%,0.50%,0.60%,0.41%,-0.11%,-0.22%,0.32%,0.53%,-0.09%,,199
08/01/2020,0.17%,-0.10%,-0.55%,0.31%,0.70%,1.40%,-0.48%,0.46%,0.13%,-0.06%,0.12%,0.47%,-0.41%,0.32%,,199
09/01/2020,0.26%,0.83%,0.07%,0.19%,1.30%,-1.83%,0.52%,0.77%,0.34%,0.04%,-0.10%,-0.27%,0.03%,0.06%,,199
10/01/2020,0.50%,-0.10%,0.53%,-0.09%,-0.09%,1.94%,0.34%,0.02%,-0.35%,0.55%,-0.09%,-0.88%,-0.15%,-0.28%,,199
11/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.01%,0.00%,,199
12/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,-0.04%,-0.10%,,199
13/01/2020,-0.11%,-0.63%,0.55%,-0.02%,-0.24%,0.21%,-0.44%,-0.52%,-0.25%,0.04%,-0.31%,0.52%,-0.09%,-0.21%,,199
14/01/2020,-0.17%,0.15%,0.25%,0.08%,0.04%,0.64%,0.10%,0.13%,0.37%,0.61%,-0.16%,0.21%,0.77%,0.39%,,199
15/01/2020,-1.20%,-0.50%,-0.01%,-0.14%,-0.18%,-0.64%,-1.10%,-0.69%,0.07%,0.21%,-0.17%,-0.47%,0.27%,0.19%,,199
16/01/2020,0.10%,0.43%,0.98%,0.11%,-0.02%,-0.21%,-0.18%,0.74%,0.08%,0.07%,0.64%,1.21%,0.21%,-0.01%,,199
17/01/2020,-0.07%,0.49%,0.68%,1.02%,0.72%,1.90%,0.52%,0.84%,0.57%,0.02%,1.13%,0.86%,1.49%,0.70%,,199
18/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,199
19/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,-0.05%,-0.01%,,199
20/01/2020,-0.01%,0.14%,0.66%,-0.36%,0.17%,-0.53%,-0.14%,-0.58%,-0.22%,-0.08%,-0.23%,-0.26%,0.01%,-0.34%,,199
21/01/2020,-0.44%,0.15%,-0.73%,-0.54%,0.05%,2.19%,-0.63%,-0.66%,-0.38%,-0.52%,-0.49%,0.31%,0.41%,-0.14%,,199
22/01/2020,-0.12%,-0.08%,-0.29%,-0.58%,-0.30%,-2.72%,0.43%,-0.58%,-0.05%,-0.23%,-0.39%,-0.63%,0.14%,0.17%,,199
23/01/2020,-1.04%,-0.94%,-0.63%,-0.65%,-0.95%,4.05%,-0.70%,0.00%,-0.98%,-0.55%,-0.58%,-0.90%,-0.60%,-0.67%,,199
24/01/2020,0.75%,0.61%,0.45%,0.87%,1.40%,4.48%,0.84%,1.10%,1.41%,0.98%,0.46%,0.87%,0.40%,0.94%,,199
25/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,199
26/01/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.13%,0.15%,-0.07%,,199
27/01/2020,-1.51%,-2.51%,-2.27%,-2.71%,-2.78%,-3.67%,-1.75%,-2.33%,-2.56%,-2.06%,-2.07%,-2.73%,-1.55%,-2.28%,,199
28/01/2020,0.68%,1.34%,1.80%,1.07%,0.90%,-2.14%,0.32%,2.58%,0.71%,1.24%,1.25%,0.99%,0.64%,0.62%,,199
29/01/2020,0.45%,0.22%,-0.20%,0.49%,0.16%,-0.62%,1.28%,0.57%,0.37%,0.31%,0.66%,0.27%,0.79%,0.08%,,199
30/01/2020,-1.03%,-0.94%,0.17%,-1.41%,-1.42%,-0.73%,-1.27%,-1.60%,-1.04%,-0.25%,-0.72%,-0.63%,-0.78%,-1.00%,,199
31/01/2020,-0.88%,-0.52%,-0.53%,-1.12%,-1.34%,-2.01%,-1.14%,-2.31%,-1.59%,0.11%,-1.17%,-0.65%,-1.10%,-1.00%,,199
01/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,,205
02/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.08%,0.04%,-0.12%,,205
03/02/2020,-0.58%,0.55%,-0.14%,0.45%,0.49%,-2.16%,1.41%,0.96%,0.48%,-0.52%,0.39%,0.09%,0.34%,-0.62%,,205
04/02/2020,0.88%,2.78%,1.52%,1.74%,1.80%,0.00%,0.52%,1.63%,2.18%,0.75%,1.67%,2.92%,1.07%,1.97%,,205
05/02/2020,1.31%,1.55%,1.83%,0.84%,1.47%,1.94%,0.91%,1.63%,1.31%,0.73%,1.61%,1.83%,1.76%,0.70%,,205
06/02/2020,0.58%,0.90%,1.02%,0.88%,0.71%,-2.82%,-0.17%,1.04%,0.87%,-0.29%,0.96%,0.05%,0.21%,-0.03%,,205
07/02/2020,0.14%,-1.09%,0.88%,-0.14%,-0.45%,-2.45%,-0.50%,-0.05%,-0.37%,0.05%,0.00%,-0.08%,-0.09%,-0.58%,,205
08/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,205
09/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.13%,0.08%,0.05%,,205
10/02/2020,-0.89%,0.16%,-0.18%,-0.23%,-0.15%,2.45%,-1.21%,0.12%,0.10%,-0.15%,0.05%,0.81%,0.62%,0.28%,,205
11/02/2020,1.98%,1.22%,1.41%,0.65%,0.99%,-1.66%,1.30%,0.74%,1.09%,1.08%,0.68%,1.60%,0.65%,0.91%,,205
12/02/2020,0.73%,0.77%,-0.50%,0.82%,0.89%,1.44%,0.66%,0.69%,0.83%,-0.46%,0.58%,0.62%,0.10%,0.90%,,205
13/02/2020,-0.29%,-0.04%,-0.22%,-0.19%,-0.03%,0.00%,-0.55%,0.12%,0.02%,0.32%,-0.31%,-0.39%,0.19%,-0.11%,,205
14/02/2020,0.53%,0.06%,-0.04%,-0.39%,-0.01%,-0.66%,0.08%,-0.10%,0.01%,-0.07%,0.47%,-0.29%,-0.01%,-0.48%,,205
15/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,205
16/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.07%,-0.05%,,205
17/02/2020,-0.07%,0.31%,-0.45%,0.27%,0.29%,0.77%,-0.19%,1.02%,-0.01%,1.29%,0.65%,0.39%,0.50%,0.00%,,205
18/02/2020,-0.99%,-0.81%,-1.50%,-0.48%,-0.75%,0.00%,-0.02%,0.41%,-0.60%,-0.15%,-0.16%,-1.06%,-0.07%,-0.35%,,205
19/02/2020,0.62%,-0.61%,0.98%,0.89%,0.78%,-0.11%,1.38%,1.00%,0.53%,0.86%,0.77%,1.05%,0.86%,0.33%,,205
20/02/2020,-0.77%,-0.49%,-0.42%,-0.80%,-0.91%,1.31%,-0.27%,-1.57%,-1.06%,-0.45%,-1.52%,-0.22%,-0.78%,-0.43%,,205
21/02/2020,-0.77%,-0.99%,-0.31%,-0.54%,-0.62%,-0.87%,0.06%,-1.23%,-0.77%,-0.45%,-0.45%,-0.65%,-0.45%,-0.39%,,205
22/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,205
23/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,0.09%,0.04%,,205
24/02/2020,-3.53%,-4.02%,-3.48%,-4.02%,-4.09%,-6.69%,-4.45%,-5.59%,-3.97%,-3.59%,-4.16%,-4.37%,-3.84%,-3.70%,,205
25/02/2020,-2.33%,-2.30%,-1.88%,-1.96%,-1.90%,0.00%,-1.42%,-1.45%,-1.80%,-2.31%,-2.48%,-1.78%,-2.11%,-1.64%,,205
26/02/2020,-0.35%,0.05%,0.93%,0.09%,-0.12%,2.55%,0.07%,1.43%,-0.16%,0.63%,0.71%,0.53%,0.23%,-0.45%,,205
27/02/2020,-3.92%,-5.11%,-2.89%,-3.38%,-3.24%,-4.80%,-3.92%,-2.70%,-3.82%,-3.14%,-3.62%,-3.76%,-3.20%,-4.71%,,205
28/02/2020,-2.08%,-4.23%,-3.14%,-3.44%,-3.93%,-16.66%,-2.66%,-3.64%,-3.75%,-3.84%,-2.97%,-2.71%,-3.36%,-4.10%,,205
29/02/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,,205
01/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.41%,-0.37%,-0.25%,,361
02/03/2020,-0.31%,0.99%,0.38%,0.44%,-0.27%,0.00%,-0.15%,-1.51%,0.52%,1.05%,0.21%,0.60%,0.97%,-0.02%,,361
03/03/2020,1.11%,1.46%,0.99%,1.11%,1.07%,0.00%,1.54%,0.43%,2.19%,1.52%,0.80%,1.48%,1.34%,1.07%,,361
04/03/2020,-0.39%,0.64%,0.41%,1.32%,1.18%,4.43%,0.80%,0.91%,0.64%,1.58%,1.11%,0.78%,1.85%,2.16%,,361
05/03/2020,-2.81%,-1.49%,-1.82%,-1.92%,-1.52%,2.28%,-1.40%,-1.80%,-0.93%,-2.22%,-2.58%,-1.70%,-0.66%,-1.76%,,361
06/03/2020,-3.95%,-3.14%,-3.68%,-4.23%,-3.43%,-2.55%,-2.85%,-3.57%,-3.92%,-3.93%,-3.60%,-3.32%,-3.78%,-3.51%,,361
07/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.02%,,361
08/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.79%,0.18%,-0.52%,,361
09/03/2020,-9.44%,0.00%,-7.58%,-8.76%,-8.28%,-9.10%,-6.63%,-11.85%,-7.96%,-9.06%,-8.30%,-6.45%,-5.90%,-8.27%,,361
10/03/2020,-0.78%,-8.49%,-1.67%,-1.53%,-1.42%,-13.18%,-0.65%,-3.33%,-1.06%,-0.70%,-3.26%,-0.34%,-0.20%,-0.66%,,361
11/03/2020,-2.38%,-0.23%,-0.91%,-0.57%,-0.35%,11.53%,-2.35%,0.33%,-0.27%,-0.47%,-0.34%,-1.17%,-0.21%,-1.62%,,361
12/03/2020,-14.67%,-15.33%,-10.68%,-13.10%,-13.05%,-5.60%,-10.46%,-18.55%,-11.38%,-10.27%,-15.15%,-12.65%,-10.04%,-12.82%,,361
13/03/2020,0.48%,1.03%,-1.72%,1.82%,0.77%,-7.30%,0.44%,6.88%,0.17%,0.82%,3.67%,2.44%,0.83%,0.38%,,361
14/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.04%,0.00%,0.00%,,361
15/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.42%,0.96%,,361
16/03/2020,-11.05%,-7.35%,-5.31%,-5.92%,-5.45%,-0.69%,-8.26%,-6.30%,-3.79%,-4.46%,-8.21%,-4.45%,-1.89%,-5.23%,,361
17/03/2020,-1.28%,-0.27%,1.60%,2.80%,2.23%,-5.71%,-0.18%,2.21%,1.78%,4.39%,6.21%,3.54%,3.23%,2.90%,,361
18/03/2020,-8.11%,1.86%,-2.61%,-6.12%,-5.72%,-1.67%,-8.03%,-1.28%,-4.87%,-5.17%,-3.50%,-5.39%,-2.08%,-7.83%,,361
19/03/2020,4.50%,2.30%,3.59%,2.65%,1.98%,4.02%,1.49%,2.27%,4.51%,-1.26%,1.91%,3.83%,5.73%,3.05%,,361
20/03/2020,10.21%,5.01%,0.95%,4.89%,3.63%,-0.90%,3.80%,1.70%,2.16%,2.03%,0.74%,-1.65%,-2.53%,1.12%,,361
21/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,361
22/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.63%,0.74%,0.41%,,361
23/03/2020,-0.44%,-3.95%,-4.34%,-3.38%,-2.13%,5.28%,-2.93%,-1.10%,-1.93%,-1.93%,-3.36%,-4.01%,-5.83%,-4.76%,,361
24/03/2020,7.84%,7.36%,6.66%,8.06%,10.41%,6.48%,6.71%,8.55%,8.59%,7.53%,7.53%,8.28%,6.61%,10.01%,,361
25/03/2020,-0.81%,1.80%,4.40%,4.37%,1.77%,-1.62%,3.88%,1.73%,2.92%,1.89%,3.30%,3.90%,2.49%,4.05%,,361
26/03/2020,1.89%,2.86%,2.11%,2.48%,1.27%,0.00%,4.46%,0.72%,1.58%,1.46%,1.30%,1.69%,2.40%,3.66%,,361
27/03/2020,-2.90%,-4.83%,-3.45%,-4.32%,-3.75%,6.48%,-5.54%,-3.19%,-3.81%,-1.78%,-3.70%,-4.33%,-2.45%,-4.38%,,361
28/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,361
29/03/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.54%,0.23%,,361
30/03/2020,-0.41%,-1.26%,0.50%,0.62%,1.89%,3.17%,0.55%,0.29%,2.35%,1.02%,-1.76%,1.94%,1.95%,1.30%,,361
31/03/2020,0.60%,2.61%,4.76%,0.40%,1.21%,5.77%,4.17%,1.06%,1.56%,2.14%,1.87%,3.65%,1.33%,2.25%,,361
01/04/2020,-2.81%,-2.17%,-3.59%,-4.39%,-4.02%,-7.71%,-3.21%,-3.01%,-2.54%,-1.91%,-3.08%,-4.44%,-1.35%,-3.44%,,298
02/04/2020,1.81%,1.95%,0.95%,0.33%,0.27%,-1.52%,-2.25%,1.73%,1.47%,0.02%,-0.08%,0.30%,1.26%,1.54%,,298
03/04/2020,-0.85%,-1.33%,-1.23%,-1.59%,-0.47%,-4.24%,-1.98%,-2.71%,-1.44%,-0.52%,0.11%,-2.02%,-0.21%,-1.82%,,298
04/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,298
05/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.04%,-0.42%,,298
06/04/2020,4.07%,3.87%,2.51%,4.51%,5.61%,3.15%,4.74%,3.92%,3.82%,1.15%,3.91%,4.67%,2.33%,3.26%,,298
07/04/2020,3.83%,2.12%,3.16%,2.10%,2.76%,4.70%,1.93%,2.17%,2.03%,1.26%,2.28%,3.21%,0.59%,2.10%,,298
08/04/2020,-0.57%,0.71%,-0.28%,0.10%,-0.23%,5.06%,-0.10%,-0.18%,0.17%,0.05%,-0.72%,-0.75%,-0.83%,0.26%,,298
09/04/2020,3.24%,1.21%,0.95%,1.43%,2.22%,-3.73%,3.45%,1.38%,1.45%,3.02%,1.69%,0.58%,0.14%,2.76%,,298
10/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.03%,-0.10%,,298
11/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,298
12/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.04%,0.11%,,298
13/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.41%,0.00%,0.61%,,298
14/04/2020,0.79%,-1.13%,1.91%,0.38%,1.24%,1.45%,-2.02%,-0.36%,-0.06%,0.82%,0.54%,2.49%,1.01%,-0.65%,,298
15/04/2020,-7.22%,-4.58%,-4.29%,-3.83%,-3.97%,-1.16%,-4.20%,-4.90%,-3.33%,-2.23%,-3.86%,-4.10%,-2.12%,-3.51%,,298
16/04/2020,-2.04%,0.15%,-0.09%,-0.08%,0.21%,-2.81%,2.24%,0.29%,1.00%,-0.75%,-1.12%,1.06%,1.28%,0.71%,,298
17/04/2020,3.11%,3.04%,2.55%,3.36%,3.10%,2.81%,3.76%,1.70%,1.94%,1.58%,1.65%,3.43%,1.88%,2.73%,,298
18/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.03%,-0.02%,0.00%,,298
19/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,-0.03%,,298
20/04/2020,-0.43%,0.21%,-0.25%,0.65%,0.47%,0.00%,-0.80%,0.05%,1.36%,-1.03%,-0.65%,0.12%,1.79%,0.11%,,298
21/04/2020,-3.28%,-3.84%,-3.34%,-3.85%,-4.07%,0.00%,-2.22%,-3.66%,-3.37%,-2.29%,-2.92%,-3.80%,-2.56%,-4.09%,,298
22/04/2020,2.21%,1.44%,3.17%,1.24%,1.60%,-1.76%,2.16%,1.89%,2.76%,1.59%,1.27%,2.54%,1.00%,2.93%,,298
23/04/2020,3.36%,2.26%,1.35%,0.88%,0.94%,3.07%,0.58%,1.46%,0.61%,1.17%,0.40%,1.71%,-0.11%,1.49%,,298
24/04/2020,-0.70%,-2.51%,-0.97%,-1.30%,-1.70%,-3.51%,0.61%,-0.90%,-1.53%,-0.88%,-1.99%,-1.84%,-0.10%,-1.65%,,298
25/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.17%,0.00%,0.01%,,298
26/04/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,-0.06%,0.05%,,298
27/04/2020,1.00%,3.13%,1.06%,2.52%,3.09%,-1.50%,1.84%,3.04%,1.43%,0.58%,1.77%,1.88%,1.14%,2.05%,,298
28/04/2020,2.31%,2.76%,3.10%,1.42%,1.26%,2.10%,1.62%,1.69%,1.51%,1.85%,1.54%,3.12%,1.45%,1.92%,,298
29/04/2020,4.10%,2.37%,3.61%,2.19%,2.85%,1.76%,3.69%,2.18%,1.34%,2.28%,3.16%,2.02%,-0.67%,2.48%,,298
30/04/2020,-1.26%,-3.08%,-0.26%,-2.14%,-2.24%,-0.29%,-1.49%,-2.11%,-2.70%,-0.62%,-1.91%,-1.29%,-2.27%,-3.31%,,298
01/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.14%,-1.21%,-4.27%,,282
02/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.01%,0.00%,,282
03/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.49%,1.47%,0.75%,,282
04/05/2020,-3.76%,-4.86%,-4.33%,-4.33%,-3.70%,-3.42%,-3.94%,-3.77%,-3.29%,-2.30%,-3.66%,-3.66%,-2.32%,0.26%,,282
05/05/2020,2.44%,1.81%,0.97%,2.37%,2.48%,-1.83%,-0.13%,2.04%,2.69%,0.84%,1.11%,3.14%,1.17%,2.24%,,282
06/05/2020,-0.58%,-0.26%,-0.37%,-1.12%,-1.16%,2.58%,-1.33%,-1.32%,-0.84%,-0.88%,-1.13%,-1.03%,0.71%,-0.51%,,282
07/05/2020,1.78%,1.79%,1.50%,1.52%,1.43%,-2.12%,2.14%,0.50%,2.10%,0.85%,0.88%,1.16%,0.37%,1.46%,,282
08/05/2020,0.98%,0.20%,0.75%,1.07%,1.34%,-0.77%,1.53%,1.12%,0.83%,0.41%,0.77%,2.04%,-0.54%,-0.98%,,282
09/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,0.01%,0.00%,,282
10/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.08%,1.19%,1.26%,,282
11/05/2020,-0.90%,0.04%,-0.33%,-1.31%,-0.73%,1.38%,-1.75%,-0.33%,-0.05%,-0.68%,-1.65%,-1.05%,0.34%,-0.32%,,282
12/05/2020,-1.15%,0.25%,0.72%,-0.40%,-0.05%,-1.23%,-0.38%,1.02%,0.02%,-1.38%,1.35%,1.48%,0.42%,-0.05%,,282
13/05/2020,-1.63%,-3.11%,-2.57%,-2.89%,-2.59%,0.00%,-1.24%,-2.16%,-1.60%,-1.82%,-1.96%,-3.15%,-1.04%,-1.40%,,282
14/05/2020,-2.29%,-2.53%,-2.56%,-1.67%,-1.97%,-0.46%,-0.89%,-1.85%,-2.60%,-2.95%,-1.30%,-2.79%,-1.93%,-2.72%,,282
15/05/2020,0.70%,1.12%,-0.06%,0.11%,1.23%,3.05%,0.02%,-0.09%,0.26%,0.93%,-1.09%,0.63%,0.40%,-0.22%,,282
16/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,282
17/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.32%,0.00%,-0.09%,,282
18/05/2020,3.62%,3.17%,5.05%,5.03%,5.52%,-0.75%,5.81%,3.21%,3.84%,4.51%,4.59%,5.55%,1.82%,4.26%,,282
19/05/2020,-4.40%,-2.20%,0.35%,-0.90%,0.15%,0.30%,-0.22%,-2.13%,0.11%,0.03%,-2.54%,-0.31%,0.19%,-0.42%,,282
20/05/2020,1.48%,1.14%,1.56%,0.87%,1.33%,-2.29%,1.24%,1.04%,2.02%,0.99%,1.12%,0.31%,0.44%,0.43%,,282
21/05/2020,-2.18%,-1.82%,0.00%,-1.15%,-1.42%,1.99%,-0.40%,-0.73%,-1.57%,-0.20%,0.04%,-0.11%,-0.32%,-0.71%,,282
22/05/2020,1.32%,0.75%,-0.33%,-0.02%,0.07%,0.90%,0.42%,1.33%,0.30%,0.62%,0.17%,-0.49%,-0.62%,-0.44%,,282
23/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,282
24/05/2020,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,-0.10%,0.16%,,282
25/05/2020,1.18%,1.38%,0.92%,2.12%,2.83%,2.37%,1.23%,1.60%,1.60%,0.84%,2.35%,2.02%,1.43%,0.20%,,282
26/05/2020,2.84%,5.24%,2.42%,1.45%,0.99%,0.00%,2.62%,1.49%,-0.29%,0.52%,2.12%,0.99%,-0.03%,1.57%,,282
27/05/2020,1.62%,2.14%,1.88%,1.78%,1.32%,1.45%,0.47%,0.28%,-0.44%,0.12%,2.41%,0.93%,-1.78%,0.37%,,282
28/05/2020,0.80%,1.47%,1.12%,1.75%,1.05%,2.85%,0.53%,2.43%,1.81%,1.75%,0.69%,2.31%,1.97%,1.10%,,282
